TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,REGION_RATING_CLIENT
0,Cash loans,M,270000,479700,Commercial associate,Secondary / secondary special,Married,-13892,2
0,Cash loans,M,135000,888840,State servant,Secondary / secondary special,Married,-16947,2
0,Cash loans,F,270000,1255680,Commercial associate,Secondary / secondary special,Married,-11087,2
0,Cash loans,F,139500,468000,State servant,Secondary / secondary special,Married,-11493,3
0,Cash loans,F,112500,582804,Working,Incomplete higher,Single / not married,-8213,3
0,Cash loans,M,247500,1078200,Working,Secondary / secondary special,Married,-16283,2
0,Cash loans,F,360000,1345500,Commercial associate,Higher education,Married,-15198,3
0,Cash loans,F,135000,942300,Working,Secondary / secondary special,Married,-16894,2
0,Cash loans,F,135000,1006920,Working,Secondary / secondary special,Married,-20958,2
0,Cash loans,F,180000,536917.5,Working,Secondary / secondary special,Single / not married,-20121,2
0,Revolving loans,M,112500,270000,Working,Incomplete higher,Married,-13658,2
0,Cash loans,F,135000,549882,Pensioner,Secondary / secondary special,Married,-23611,2
0,Cash loans,M,135000,270000,Working,Secondary / secondary special,Married,-19365,2
0,Cash loans,M,157500,1360498.5,Working,Higher education,Married,-20589,2
0,Cash loans,F,76500,675000,Working,Secondary / secondary special,Married,-18048,3
0,Cash loans,F,225000,539100,State servant,Secondary / secondary special,Married,-14652,2
0,Cash loans,F,135000,296280,Pensioner,Secondary / secondary special,Widow,-24300,1
0,Cash loans,M,225000,562932,Commercial associate,Secondary / secondary special,Married,-18949,3
0,Cash loans,F,270000,765000,Working,Secondary / secondary special,Married,-16645,2
0,Cash loans,M,220500,675000,State servant,Secondary / secondary special,Married,-13561,1
0,Cash loans,M,157500,755190,Working,Secondary / secondary special,Married,-15613,2
0,Cash loans,F,247500,675000,State servant,Higher education,Married,-9355,1
0,Cash loans,F,157500,247500,Working,Secondary / secondary special,Widow,-19597,2
0,Cash loans,M,121500,521280,Working,Secondary / secondary special,Married,-16830,2
0,Cash loans,M,189000,57339,Working,Higher education,Civil marriage,-11586,2
0,Cash loans,F,90000,502497,Working,Secondary / secondary special,Married,-20180,3
0,Cash loans,F,157500,942300,Commercial associate,Secondary / secondary special,Married,-17615,2
0,Cash loans,M,157500,573628.5,Commercial associate,Secondary / secondary special,Single / not married,-8228,2
0,Cash loans,M,157500,2025000,Commercial associate,Secondary / secondary special,Married,-14059,3
0,Cash loans,F,157500,288873,Working,Secondary / secondary special,Civil marriage,-12951,3
0,Cash loans,F,180000,728460,Working,Secondary / secondary special,Married,-15980,2
0,Cash loans,F,67500,1339884,Commercial associate,Secondary / secondary special,Married,-15924,2
0,Cash loans,F,112500,99000,Working,Higher education,Married,-14634,2
0,Cash loans,M,180000,751842,Commercial associate,Secondary / secondary special,Separated,-22043,2
0,Cash loans,M,166500,521280,Commercial associate,Secondary / secondary special,Married,-19338,1
0,Cash loans,M,247500,629325,Commercial associate,Secondary / secondary special,Married,-16250,2
0,Cash loans,F,180000,1690195.5,Pensioner,Higher education,Married,-20482,3
0,Cash loans,F,157500,1255680,Commercial associate,Higher education,Married,-18891,1
0,Cash loans,M,292500,1546020,Commercial associate,Incomplete higher,Married,-14322,1
0,Cash loans,F,202500,675000,Working,Secondary / secondary special,Married,-16052,2
0,Cash loans,F,270000,1078200,State servant,Higher education,Separated,-15152,2
0,Cash loans,M,234000,900000,Working,Secondary / secondary special,Married,-19878,2
0,Cash loans,M,180000,225000,Working,Secondary / secondary special,Single / not married,-11545,2
0,Cash loans,F,157500,700830,Working,Secondary / secondary special,Married,-18698,3
0,Revolving loans,M,382500,180000,Commercial associate,Higher education,Married,-10733,2
0,Cash loans,F,324000,1506816,Commercial associate,Secondary / secondary special,Married,-19383,1
0,Cash loans,F,202500,1111500,Working,Higher education,Married,-21227,2
0,Cash loans,M,148500,1546020,Working,Secondary / secondary special,Married,-18410,2
0,Cash loans,F,135000,229230,Working,Secondary / secondary special,Single / not married,-17065,2
0,Cash loans,F,135000,254700,Commercial associate,Secondary / secondary special,Married,-11778,2
0,Cash loans,F,90000,1042006.5,Pensioner,Secondary / secondary special,Married,-23247,2
0,Cash loans,M,270000,260640,Commercial associate,Higher education,Married,-12979,2
0,Cash loans,M,2930026.5,900000,Commercial associate,Secondary / secondary special,Married,-15523,3
0,Cash loans,F,225000,1327855.5,Commercial associate,Higher education,Civil marriage,-9606,1
0,Cash loans,F,56250,104256,Commercial associate,Secondary / secondary special,Married,-14770,2
0,Cash loans,F,180000,485901,Working,Secondary / secondary special,Civil marriage,-15007,1
0,Cash loans,M,211500,1288350,Pensioner,Secondary / secondary special,Married,-22207,2
0,Cash loans,F,48150,284400,Commercial associate,Secondary / secondary special,Single / not married,-8236,3
0,Cash loans,F,67500,269550,Working,Secondary / secondary special,Married,-12820,2
1,Cash loans,F,180000,292500,Working,Secondary / secondary special,Married,-15529,2
0,Cash loans,F,157500,951538.5,Commercial associate,Secondary / secondary special,Married,-18497,2
0,Cash loans,M,225000,473161.5,Commercial associate,Higher education,Married,-13386,2
0,Cash loans,F,90000,277969.5,Working,Secondary / secondary special,Married,-11692,2
0,Cash loans,F,76500,835605,State servant,Higher education,Married,-13747,2
0,Revolving loans,F,270000,450000,Commercial associate,Higher education,Single / not married,-9562,1
0,Revolving loans,F,180000,270000,Commercial associate,Secondary / secondary special,Married,-14942,2
0,Cash loans,F,675000,1802385,Commercial associate,Secondary / secondary special,Married,-18811,1
0,Cash loans,M,180000,381528,Commercial associate,Secondary / secondary special,Single / not married,-13411,1
0,Cash loans,F,157500,808650,Working,Higher education,Separated,-11830,3
0,Cash loans,M,157500,814041,Working,Higher education,Married,-20230,3
0,Cash loans,F,87750,521280,Pensioner,Secondary / secondary special,Single / not married,-23171,2
0,Cash loans,F,270000,1280794.5,Working,Higher education,Married,-18383,2
0,Cash loans,M,270000,450000,State servant,Secondary / secondary special,Married,-8521,2
0,Cash loans,F,90000,225000,Pensioner,Secondary / secondary special,Married,-25024,2
0,Cash loans,F,157500,835380,Working,Secondary / secondary special,Married,-13073,2
0,Cash loans,M,180000,313438.5,Working,Secondary / secondary special,Married,-11446,3
0,Cash loans,F,180000,283419,Commercial associate,Secondary / secondary special,Married,-10844,1
0,Cash loans,M,135000,284400,Commercial associate,Secondary / secondary special,Single / not married,-8582,2
0,Cash loans,F,126000,1125000,Working,Secondary / secondary special,Married,-16625,2
0,Cash loans,F,202500,1971072,Commercial associate,Secondary / secondary special,Single / not married,-16871,2
0,Cash loans,F,225000,948582,Commercial associate,Higher education,Separated,-12841,2
1,Cash loans,F,157500,835380,Working,Secondary / secondary special,Married,-19916,3
0,Cash loans,F,157500,640080,Commercial associate,Secondary / secondary special,Single / not married,-14933,2
0,Cash loans,M,157500,254700,Working,Higher education,Married,-19443,2
0,Cash loans,F,180000,894766.5,Working,Secondary / secondary special,Married,-12577,2
0,Cash loans,M,126000,450000,Working,Secondary / secondary special,Married,-19575,3
0,Cash loans,F,157500,432567,Commercial associate,Secondary / secondary special,Married,-20151,2
0,Revolving loans,M,225000,315000,Commercial associate,Higher education,Married,-11938,3
1,Cash loans,M,135000,117162,Working,Secondary / secondary special,Single / not married,-9108,3
0,Cash loans,F,202500,1125000,Working,Secondary / secondary special,Single / not married,-21885,2
0,Revolving loans,F,112500,180000,Working,Secondary / secondary special,Single / not married,-8035,2
1,Cash loans,M,135000,454500,Pensioner,Secondary / secondary special,Married,-14400,2
0,Cash loans,M,180000,225000,Working,Higher education,Single / not married,-11466,2
0,Revolving loans,F,135000,382500,Pensioner,Secondary / secondary special,Widow,-22262,2
0,Cash loans,F,135000,942169.5,Commercial associate,Secondary / secondary special,Separated,-20495,1
1,Cash loans,M,180000,545040,Working,Secondary / secondary special,Single / not married,-11205,2
0,Cash loans,F,112500,521280,Commercial associate,Incomplete higher,Single / not married,-9696,2
0,Cash loans,M,225000,454500,Working,Secondary / secondary special,Married,-12885,2
0,Cash loans,M,270000,481855.5,State servant,Higher education,Married,-14337,2
0,Cash loans,M,225000,225000,Working,Secondary / secondary special,Single / not married,-18614,2
0,Cash loans,F,225000,485086.5,Working,Secondary / secondary special,Married,-19557,1
0,Cash loans,F,180000,835380,State servant,Secondary / secondary special,Single / not married,-11926,1
0,Cash loans,F,202500,528687,Working,Secondary / secondary special,Married,-13057,3
1,Cash loans,F,40500,312768,Working,Secondary / secondary special,Married,-14978,2
0,Cash loans,F,90000,754740,Working,Secondary / secondary special,Married,-16073,2
0,Cash loans,F,225000,536917.5,Working,Secondary / secondary special,Married,-17304,2
0,Cash loans,F,225000,1575000,Pensioner,Secondary / secondary special,Married,-23180,2
0,Cash loans,M,157500,521280,Working,Secondary / secondary special,Married,-15456,2
0,Cash loans,M,315000,746280,Commercial associate,Secondary / secondary special,Single / not married,-13850,2
0,Cash loans,F,315000,528633,State servant,Secondary / secondary special,Married,-17696,2
0,Cash loans,F,180000,2410380,Pensioner,Secondary / secondary special,Married,-22053,2
0,Cash loans,F,90000,385222.5,Pensioner,Secondary / secondary special,Widow,-20547,2
0,Cash loans,F,225000,1078200,Working,Secondary / secondary special,Separated,-13427,2
0,Cash loans,F,180000,755190,Pensioner,Secondary / secondary special,Single / not married,-20233,1
0,Cash loans,F,112500,135000,Pensioner,Higher education,Married,-22876,2
0,Cash loans,F,103500,327024,Working,Secondary / secondary special,Single / not married,-19763,2
0,Cash loans,F,90000,1341000,State servant,Higher education,Married,-18779,2
0,Cash loans,F,135000,1054935,State servant,Secondary / secondary special,Married,-18628,2
0,Cash loans,F,720000,942300,Working,Higher education,Civil marriage,-10614,1
0,Cash loans,M,112500,254700,Commercial associate,Secondary / secondary special,Married,-15793,2
0,Cash loans,F,247500,270000,Commercial associate,Secondary / secondary special,Widow,-21305,2
0,Cash loans,M,225000,1268181,State servant,Higher education,Married,-21291,2
0,Cash loans,M,247500,497520,Working,Secondary / secondary special,Married,-19654,2
0,Cash loans,M,157500,239850,Working,Secondary / secondary special,Married,-11754,2
0,Cash loans,F,90000,355536,Working,Secondary / secondary special,Married,-12147,2
0,Cash loans,F,135000,239850,Pensioner,Secondary / secondary special,Widow,-24617,2
0,Cash loans,F,135000,521280,Working,Secondary / secondary special,Widow,-23653,2
0,Cash loans,F,166500,1078200,Working,Secondary / secondary special,Married,-17681,2
0,Revolving loans,F,157500,225000,Pensioner,Secondary / secondary special,Separated,-18714,3
0,Cash loans,F,90000,472500,Working,Secondary / secondary special,Widow,-16769,2
0,Cash loans,F,270000,824823,Working,Secondary / secondary special,Married,-13956,2
0,Cash loans,F,202500,288873,Commercial associate,Secondary / secondary special,Single / not married,-23493,2
0,Revolving loans,F,135000,135000,Working,Secondary / secondary special,Single / not married,-10075,2
0,Revolving loans,M,135000,270000,Working,Higher education,Single / not married,-12709,2
0,Cash loans,F,157500,900000,Working,Secondary / secondary special,Separated,-13445,2
1,Cash loans,M,135000,485640,Working,Higher education,Married,-9708,2
0,Cash loans,F,72000,305221.5,Pensioner,Lower secondary,Widow,-23054,3
0,Cash loans,F,90000,101880,Pensioner,Secondary / secondary special,Married,-24831,2
0,Cash loans,F,135000,1762110,Working,Higher education,Married,-17639,3
0,Cash loans,M,225000,1288350,Commercial associate,Secondary / secondary special,Civil marriage,-15574,2
0,Cash loans,F,112500,436032,Commercial associate,Secondary / secondary special,Separated,-23545,2
0,Cash loans,M,238500,256500,Working,Secondary / secondary special,Married,-15410,2
0,Cash loans,M,157500,284400,Working,Secondary / secondary special,Civil marriage,-15663,1
0,Cash loans,F,157500,1433367,Working,Secondary / secondary special,Married,-8788,2
0,Cash loans,F,90000,330237,Pensioner,Secondary / secondary special,Married,-21620,2
0,Cash loans,M,180000,157500,Working,Higher education,Separated,-21856,2
0,Cash loans,M,180000,521280,Working,Secondary / secondary special,Married,-10189,2
0,Cash loans,F,99000,315000,State servant,Secondary / secondary special,Single / not married,-17460,3
0,Cash loans,M,135000,107820,State servant,Secondary / secondary special,Married,-16230,2
0,Cash loans,M,135000,414792,Pensioner,Secondary / secondary special,Married,-19330,2
0,Cash loans,F,225000,1654560,Commercial associate,Secondary / secondary special,Married,-17287,2
1,Revolving loans,F,247500,270000,Commercial associate,Secondary / secondary special,Married,-18721,2
0,Cash loans,F,157500,900000,Working,Secondary / secondary special,Married,-10289,2
0,Cash loans,F,126000,533668.5,Pensioner,Secondary / secondary special,Married,-20878,3
0,Cash loans,F,135000,521280,Working,Secondary / secondary special,Married,-16699,2
0,Cash loans,F,135000,1291500,Working,Secondary / secondary special,Married,-12059,2
0,Cash loans,F,78750,264888,Working,Secondary / secondary special,Married,-9239,2
0,Cash loans,F,225000,654498,Working,Secondary / secondary special,Married,-14689,2
0,Cash loans,F,40500,1436850,Pensioner,Secondary / secondary special,Married,-23570,3
0,Cash loans,F,135000,1205896.5,Working,Secondary / secondary special,Married,-16317,2
0,Cash loans,F,112500,225000,Working,Secondary / secondary special,Married,-15320,2
0,Cash loans,F,202500,314100,Working,Secondary / secondary special,Married,-17644,2
1,Cash loans,M,180000,233905.5,Working,Secondary / secondary special,Single / not married,-10300,2
0,Cash loans,M,126000,293535,Commercial associate,Secondary / secondary special,Married,-8122,2
1,Cash loans,M,90000,616261.5,Working,Secondary / secondary special,Married,-13904,2
0,Cash loans,M,225000,1287000,Working,Secondary / secondary special,Single / not married,-13446,2
0,Cash loans,M,225000,1288350,Commercial associate,Secondary / secondary special,Married,-14661,1
0,Cash loans,F,100278,1035000,State servant,Higher education,Married,-9316,2
0,Cash loans,M,211500,473760,Commercial associate,Incomplete higher,Married,-12546,2
0,Cash loans,M,135000,142632,Working,Secondary / secondary special,Married,-15905,2
0,Cash loans,F,90000,240660,Commercial associate,Secondary / secondary special,Married,-9900,2
0,Cash loans,M,225000,486265.5,Working,Higher education,Married,-14723,2
0,Revolving loans,M,103500,135000,Working,Secondary / secondary special,Married,-20076,2
0,Cash loans,F,148500,868500,Working,Secondary / secondary special,Single / not married,-22080,3
0,Cash loans,F,202500,543037.5,Working,Higher education,Single / not married,-20675,2
1,Revolving loans,F,180000,540000,Commercial associate,Secondary / secondary special,Separated,-16028,1
0,Cash loans,F,67500,657702,Pensioner,Secondary / secondary special,Married,-23521,2
0,Cash loans,F,274500,450000,Working,Secondary / secondary special,Separated,-15653,2
0,Cash loans,F,337500,1421428.5,Working,Higher education,Married,-11178,1
0,Revolving loans,M,225000,360000,Working,Higher education,Single / not married,-7793,2
0,Cash loans,F,112500,631332,Commercial associate,Secondary / secondary special,Married,-17749,2
0,Cash loans,F,135000,143910,Working,Higher education,Married,-12790,2
0,Cash loans,F,112500,500211,Pensioner,Secondary / secondary special,Widow,-23525,3
0,Cash loans,F,112500,598486.5,Commercial associate,Secondary / secondary special,Widow,-21846,2
0,Cash loans,F,225000,900000,State servant,Incomplete higher,Single / not married,-11991,2
0,Cash loans,F,540000,1029658.5,State servant,Higher education,Single / not married,-22020,1
0,Cash loans,F,67500,360000,Pensioner,Secondary / secondary special,Married,-21821,3
0,Cash loans,M,180000,391500,State servant,Secondary / secondary special,Married,-14630,2
0,Cash loans,M,135000,995643,Working,Higher education,Married,-12544,2
0,Cash loans,F,58500,442062,Working,Secondary / secondary special,Married,-19718,2
1,Cash loans,F,180000,451102.5,Working,Secondary / secondary special,Married,-16005,2
0,Revolving loans,M,306000,1350000,Working,Higher education,Civil marriage,-13197,2
0,Revolving loans,F,112500,180000,Commercial associate,Secondary / secondary special,Married,-8308,3
0,Cash loans,M,202500,828000,Commercial associate,Secondary / secondary special,Married,-14188,3
0,Revolving loans,F,225000,315000,Working,Secondary / secondary special,Separated,-15642,2
0,Cash loans,F,94500,254700,Pensioner,Secondary / secondary special,Civil marriage,-24052,3
0,Cash loans,F,90000,57564,Commercial associate,Secondary / secondary special,Civil marriage,-15645,2
0,Revolving loans,F,90000,135000,Working,Secondary / secondary special,Married,-12512,2
0,Cash loans,F,112500,346500,Working,Secondary / secondary special,Civil marriage,-9720,2
0,Cash loans,M,180000,490495.5,Working,Secondary / secondary special,Married,-9580,2
0,Cash loans,M,211500,284400,Working,Secondary / secondary special,Married,-14786,3
0,Cash loans,F,315000,808650,State servant,Higher education,Separated,-13428,2
0,Cash loans,F,292500,273024,Commercial associate,Secondary / secondary special,Civil marriage,-13695,2
0,Cash loans,M,105750,225000,Working,Higher education,Married,-18058,2
0,Cash loans,M,360000,254700,Commercial associate,Secondary / secondary special,Married,-17628,1
0,Cash loans,F,67500,197820,Working,Higher education,Single / not married,-12095,3
0,Cash loans,M,126000,135000,Working,Higher education,Single / not married,-12616,3
0,Cash loans,F,112500,152820,Working,Secondary / secondary special,Separated,-16328,2
0,Cash loans,F,270000,254700,State servant,Secondary / secondary special,Separated,-24539,1
0,Cash loans,F,130500,1350000,Working,Higher education,Married,-18477,2
0,Cash loans,F,144000,708939,Pensioner,Secondary / secondary special,Married,-22754,2
0,Cash loans,M,315000,432567,Commercial associate,Higher education,Married,-16484,2
0,Cash loans,M,202500,315000,Working,Secondary / secondary special,Married,-15787,3
0,Revolving loans,M,135000,180000,State servant,Secondary / secondary special,Single / not married,-7794,2
0,Cash loans,F,270000,787131,Commercial associate,Secondary / secondary special,Widow,-14708,2
1,Cash loans,F,90000,545040,Working,Secondary / secondary special,Married,-10976,3
0,Cash loans,F,67500,225000,Working,Secondary / secondary special,Married,-17440,2
0,Cash loans,M,90000,161730,Working,Secondary / secondary special,Married,-20891,3
0,Cash loans,F,67500,675000,Working,Secondary / secondary special,Civil marriage,-11794,2
0,Cash loans,F,135000,450000,Working,Higher education,Married,-10360,1
0,Cash loans,F,135000,314055,Commercial associate,Secondary / secondary special,Separated,-14267,1
0,Cash loans,F,238500,1125000,Commercial associate,Higher education,Married,-12031,2
0,Cash loans,F,202500,284400,Working,Higher education,Single / not married,-9772,2
0,Cash loans,F,121500,668484,Pensioner,Secondary / secondary special,Widow,-23709,1
0,Cash loans,F,76500,545040,Commercial associate,Secondary / secondary special,Married,-19231,2
0,Cash loans,F,315000,679500,State servant,Higher education,Married,-17414,1
0,Cash loans,F,234000,1649844,Pensioner,Higher education,Married,-23508,3
0,Cash loans,F,171000,95940,Working,Higher education,Civil marriage,-16377,1
0,Cash loans,M,315000,640080,Working,Secondary / secondary special,Single / not married,-11130,2
0,Cash loans,F,99000,526491,Pensioner,Secondary / secondary special,Widow,-22094,2
0,Cash loans,F,76500,278460,Working,Higher education,Married,-12359,2
0,Revolving loans,M,108000,180000,Working,Secondary / secondary special,Separated,-16061,2
0,Cash loans,F,135000,625536,Working,Higher education,Married,-8445,2
0,Cash loans,F,76500,709866,Pensioner,Secondary / secondary special,Widow,-22588,2
0,Cash loans,F,90000,495000,Working,Higher education,Civil marriage,-15815,3
0,Cash loans,M,112500,499221,Working,Secondary / secondary special,Married,-11093,3
1,Cash loans,F,166500,450000,Pensioner,Secondary / secondary special,Married,-23332,2
0,Cash loans,F,225000,1255680,State servant,Higher education,Separated,-10332,2
0,Cash loans,F,225000,286704,Pensioner,Secondary / secondary special,Married,-22215,1
0,Cash loans,F,135000,1172470.5,Pensioner,Higher education,Married,-20919,2
0,Cash loans,F,216000,1824480,Working,Higher education,Married,-13799,3
0,Revolving loans,F,135000,135000,Working,Higher education,Single / not married,-11906,2
0,Cash loans,M,270000,1327500,Working,Secondary / secondary special,Married,-15100,2
0,Cash loans,M,135000,508495.5,Working,Higher education,Married,-12269,2
0,Revolving loans,F,157500,180000,Working,Incomplete higher,Civil marriage,-8808,3
0,Cash loans,F,90000,364896,State servant,Higher education,Married,-12346,2
0,Cash loans,F,121500,566055,Working,Secondary / secondary special,Married,-21247,2
1,Cash loans,M,112500,864000,Working,Secondary / secondary special,Married,-11922,2
0,Revolving loans,F,180000,540000,Commercial associate,Secondary / secondary special,Married,-20311,1
0,Revolving loans,M,63000,180000,Working,Higher education,Married,-18701,2
0,Cash loans,F,90000,254700,Pensioner,Secondary / secondary special,Single / not married,-24640,2
0,Cash loans,F,144000,1082214,Commercial associate,Secondary / secondary special,Married,-14463,2
0,Cash loans,F,135000,254700,Commercial associate,Secondary / secondary special,Single / not married,-19135,2
0,Cash loans,F,135000,328500,Commercial associate,Higher education,Single / not married,-10448,2
0,Cash loans,F,112500,256500,Pensioner,Secondary / secondary special,Widow,-23661,2
0,Cash loans,F,225000,1551798,Commercial associate,Secondary / secondary special,Married,-15613,1
0,Cash loans,M,85500,225000,Working,Incomplete higher,Married,-10731,2
0,Cash loans,M,180000,276277.5,Working,Secondary / secondary special,Married,-13279,2
1,Cash loans,F,112500,468733.5,Working,Secondary / secondary special,Married,-10017,2
0,Revolving loans,F,450000,1237500,Working,Higher education,Single / not married,-16906,2
0,Cash loans,F,90000,408780,Working,Secondary / secondary special,Widow,-18790,2
0,Cash loans,F,225000,639396,Pensioner,Secondary / secondary special,Married,-22933,2
0,Cash loans,M,225000,612612,Commercial associate,Secondary / secondary special,Married,-15336,1
0,Cash loans,M,67500,101880,Working,Secondary / secondary special,Married,-10183,2
1,Cash loans,M,90000,247275,Working,Secondary / secondary special,Married,-18235,2
0,Cash loans,M,990000,450000,Commercial associate,Incomplete higher,Single / not married,-11461,2
0,Cash loans,F,67500,254700,Working,Secondary / secondary special,Married,-10076,2
0,Cash loans,F,157500,521280,Commercial associate,Higher education,Civil marriage,-12037,2
0,Cash loans,F,274500,1278594,Pensioner,Secondary / secondary special,Single / not married,-22494,2
0,Cash loans,F,90000,704844,Working,Secondary / secondary special,Married,-13171,3
0,Cash loans,F,180000,1288350,Working,Secondary / secondary special,Married,-17111,3
0,Cash loans,F,337500,696150,Working,Higher education,Widow,-18983,2
0,Cash loans,F,157500,360000,State servant,Secondary / secondary special,Civil marriage,-12942,2
0,Cash loans,M,157500,553806,Working,Secondary / secondary special,Civil marriage,-15560,2
0,Cash loans,F,157500,293733,Pensioner,Secondary / secondary special,Separated,-23573,3
0,Cash loans,F,135000,1147500,Working,Higher education,Separated,-14825,3
0,Cash loans,M,135000,526491,Working,Lower secondary,Civil marriage,-13633,2
0,Cash loans,F,67500,177768,Pensioner,Secondary / secondary special,Civil marriage,-23031,2
0,Cash loans,M,112500,809545.5,Commercial associate,Secondary / secondary special,Single / not married,-8144,2
0,Cash loans,F,180000,239850,State servant,Higher education,Civil marriage,-14222,2
0,Cash loans,F,153000,1006920,Pensioner,Secondary / secondary special,Widow,-21256,2
0,Cash loans,F,126000,592560,Working,Secondary / secondary special,Married,-16625,2
